#
# TOTAL DE REGISTROS POR TABELA - VDB FINANCEIRO
# Gerado em: 2025-07-30 (até 20250729)
#

WD_UG                                        = 52.003
WD_UG_ACERTO_SIAPE                           = 973
WD_UG_AUTORIZADA_CCON                        = 11.615
WD_UG_AUTORIZADA_EVENTO                      = 40.416
WD_UG_ENTE_BLOQUEADO                         = 4.410
WD_UG_EXERCICIO                              = 760.918
WD_UG_EXERCICIO_TESTE                        = 0
WD_UG_RESP_COFIN_DIEX                        = 252
WD_UG_UPAG_C                                 = 52.003
WD_UG_UPAG_C_TESTE                           = 138.276
WD_UNIDADE_MEDIDA                            = 267
WD_UO                                        = 1.425
WD_UORG_VINC                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_UORG_VINC_N1                              = 466
WD_UORG_VINC_N2                              = 11.269
WD_UORG_VINC_N3                              = 65.107
WD_UO_EXERCICIO                              = 16.920
WD_UO_PT_INICIATIVA                          = 42.636
WD_UPAG                                      = 1.563
WD_UPAG_C_SIAPE                              = 1.021
WD_UPAG_SIAPE                                = 8.477
WD_UPAG_UG_SIAPE                             = 4.452
WD_UPAG_VINC                                 = 19.116
WD_USO_INSCRICAO_EVENTO                      = 6
WD_UTILIZACAO_SIAFI_ORGAO                    = 8
WD_UTILIZACAO_SIASG_ORGAO                    = 9
WD_VALIDA_CLAS_ORCA_EVENTO                   = 5
WD_VERIFICA_SALDO_EVENTO                     = 5
WD_VINCULACAO_PAGAMENTO                      = 328
WF_ACOM_ORCAMENTARIO_LOGA                    = 398.851
WF_ACOM_ORCAMENTARIO_PO                      = 66.525
WF_COMPROMISSO                               = 96.902.422
WF_COMPROMISSO_FAVORECIDO                    = 93.726.771
WF_COMPROMISSO_REALIZADO                     = 61.673.807
WF_CUSTO_DIRETO                              = 66.027.321
WF_DOCUMENTO                                 = 1.147.352.574
WF_DOC_NE                                    = 59.158.775
WF_ITEM_CENTRO_CUSTO                         = 54.374.358
WF_ITEM_CENTRO_CUSTO_SPU                     = 0
WF_LANCAMENTO                                = ERRO (TEIID30504 Remote org.teiid.core.TeiidProcessingException: TEIID30504 DWTG_Colunar: S0002 Unexpected exception while translating results: Arithmetic overflow error converting expression to data type int.)
WF_LANCAMENTO_EE01                           = 1.996.392
